Course,COVID Impact,First Generation,Gender,Race/Ethnicity,Grade,Semester
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,B+,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,B+,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,C+,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,D+,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Male,Asian,A,2020 Spring
Chem1,impacted,N,Male,Asian,B,2020 Spring
Chem1,impacted,N,Male,Asian,A+,2020 Spring
Chem1,impacted,N,Male,Asian,A+,2020 Spring
Chem1,impacted,N,Male,Asian,A,2020 Spring
Chem1,impacted,N,Male,Asian,A,2020 Spring
Chem1,impacted,N,Male,Black or African American,D,2020 Spring
Chem1,impacted,N,Male,Black or African American,F,2020 Spring
Chem1,impacted,N,Male,Black or African American,W,2020 Spring
Chem1,impacted,N,Male,Hispanic,F,2020 Spring
Chem1,impacted,N,Male,Hispanic,D+,2020 Spring
Chem1,impacted,N,Male,Hispanic,A+,2020 Spring
Chem1,impacted,N,Male,Hispanic,D,2020 Spring
Chem1,impacted,N,Male,Hispanic,F,2020 Spring
Chem1,impacted,N,Male,Hispanic,C,2020 Spring
Chem1,impacted,N,Male,Hispanic,A-,2020 Spring
Chem1,impacted,N,Male,Hispanic,D+,2020 Spring
Chem1,impacted,N,Male,Two or more races,B,2020 Spring
Chem1,impacted,N,Male,Two or more races,B-,2020 Spring
Chem1,impacted,N,Male,Two or more races,F,2020 Spring
Chem1,impacted,N,Male,Two or more races,W,2020 Spring
Chem1,impacted,N,Male,Two or more races,B,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,A,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,A+,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,A+,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,A-,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,B-,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,A,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,A,2020 Spring
Chem1,impacted,N,Male,U.S. Nonresident,D-,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,D-,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,B+,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,D+,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,B+,2020 Spring
Chem1,impacted,N,Male,White,C-,2020 Spring
Chem1,impacted,N,Male,White,B+,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,B+,2020 Spring
Chem1,impacted,N,Male,White,A,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,B,2020 Spring
Chem1,impacted,N,Male,White,W,2020 Spring
Chem1,impacted,N,Male,White,B-,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,C+,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,A-,2020 Spring
Chem1,impacted,N,Male,White,F,2020 Spring
Chem1,impacted,N,Male,White,C,2020 Spring
Chem1,impacted,N,Male,White,A+,2020 Spring
Chem1,impacted,Y,Female,Asian,B,2020 Spring
Chem1,impacted,Y,Female,Asian,W,2020 Spring
Chem1,impacted,Y,Female,Hispanic,B-,2020 Spring
Chem1,impacted,Y,Female,Two or more races,F,2020 Spring
Chem1,impacted,Y,Female,U.S. Nonresident,B,2020 Spring
Chem1,impacted,Y,Female,U.S. Nonresident,B,2020 Spring
Chem1,impacted,Y,Female,U.S. Nonresident,W,2020 Spring
Chem1,impacted,Y,Female,White,B-,2020 Spring
Chem1,impacted,Y,Female,White,C+,2020 Spring
Chem1,impacted,Y,Female,White,A-,2020 Spring
Chem1,impacted,Y,Female,White,D+,2020 Spring
Chem1,impacted,Y,Female,White,C,2020 Spring
Chem1,impacted,Y,Female,White,F,2020 Spring
Chem1,impacted,Y,Female,White,B,2020 Spring
Chem1,impacted,Y,Female,White,B-,2020 Spring
Chem1,impacted,Y,Female,White,C+,2020 Spring
Chem1,impacted,Y,Female,White,B,2020 Spring
Chem1,impacted,Y,Female,White,W,2020 Spring
Chem1,impacted,Y,Female,White,C+,2020 Spring
Chem1,impacted,Y,Female,White,A,2020 Spring
Chem1,impacted,Y,Female,White,D-,2020 Spring
Chem1,impacted,Y,Female,White,A-,2020 Spring
Chem1,impacted,Y,Female,White,C+,2020 Spring
Chem1,impacted,Y,Female,White,B+,2020 Spring
Chem1,impacted,Y,Female,White,B-,2020 Spring
Chem1,impacted,Y,Female,White,A,2020 Spring
Chem1,impacted,Y,Male,Asian,F,2020 Spring
Chem1,impacted,Y,Male,Black or African American,W,2020 Spring
Chem1,impacted,Y,Male,Black or African American,F,2020 Spring
Chem1,impacted,Y,Male,Hispanic,W,2020 Spring
Chem1,impacted,Y,Male,Hispanic,W,2020 Spring
Chem1,impacted,Y,Male,Hispanic,A+,2020 Spring
Chem1,impacted,Y,Male,Hispanic,A,2020 Spring
Chem1,impacted,Y,Male,Two or more races,A,2020 Spring
Chem1,impacted,Y,Male,U.S. Nonresident,D+,2020 Spring
Chem1,impacted,Y,Male,U.S. Nonresident,C,2020 Spring
Chem1,impacted,Y,Male,White,B,2020 Spring
Chem1,impacted,Y,Male,White,B,2020 Spring
Chem1,impacted,Y,Male,White,A+,2020 Spring
Chem1,impacted,Y,Male,White,B,2020 Spring
Chem1,impacted,Y,Male,White,A+,2020 Spring
Chem1,impacted,Y,Male,White,C-,2020 Spring
Chem1,impacted,Y,Male,White,W,2020 Spring
Chem1,impacted,Y,Male,White,A-,2020 Spring
Chem1,impacted,Y,Male,White,A,2020 Spring
Chem1,impacted,Y,Male,White,F,2020 Spring
Chem1,impacted,Y,Male,White,D-,2020 Spring
Chem1,impacted,Y,Male,White,B+,2020 Spring
Chem1,impacted,Y,Male,White,W,2020 Spring
Chem1,impacted,Y,Male,White,W,2020 Spring
Chem1,impacted,Y,Male,White,W,2020 Spring
Chem1,impacted,Y,Male,White,A-,2020 Spring
Chem1,impacted,Y,Male,White,C,2020 Spring
Chem1,impacted,Y,Male,White,F,2020 Spring
Chem1,impacted,Y,Male,White,B,2020 Spring
Chem1,impacted,Y,Male,White,D+,2020 Spring
Chem1,impacted,Y,Male,White,A+,2020 Spring
Chem1,impacted,Y,Male,White,C+,2020 Spring
Chem1,impacted,Y,Male,White,D+,2020 Spring
Chem1,impacted,Y,Male,White,A,2020 Spring
Chem1,impacted,Y,Male,White,F,2020 Spring
Chem1,impacted,Y,Male,White,D-,2020 Spring
Chem1,impacted,Y,Male,White,D+,2020 Spring
Chem1,impacted,Y,Male,White,A-,2020 Spring
Chem1,impacted,Y,Male,White,C+,2020 Spring
Chem1,impacted,Y,Male,White,C,2020 Spring
Chem1,impacted,Y,Male,White,D,2020 Spring
Chem1,impacted,Y,Male,White,B+,2020 Spring
Chem1,impacted,Y,Male,White,A,2020 Spring
Chem1,impacted,N,Female,Asian,F,2020_Fall
Chem1,impacted,N,Female,Asian,A,2020_Fall
Chem1,impacted,N,Female,Asian,A-,2020_Fall
Chem1,impacted,N,Female,Asian,B+,2020_Fall
Chem1,impacted,N,Female,Asian,A-,2020_Fall
Chem1,impacted,N,Female,Asian,B,2020_Fall
Chem1,impacted,N,Female,Asian,B+,2020_Fall
Chem1,impacted,N,Female,Asian,B+,2020_Fall
Chem1,impacted,N,Female,Asian,A+,2020_Fall
Chem1,impacted,N,Female,Asian,A+,2020_Fall
Chem1,impacted,N,Female,Asian,A-,2020_Fall
Chem1,impacted,N,Female,Black or African American,B+,2020_Fall
Chem1,impacted,N,Female,Black or African American,W,2020_Fall
Chem1,impacted,N,Female,Black or African American,W,2020_Fall
Chem1,impacted,N,Female,Black or African American,W,2020_Fall
Chem1,impacted,N,Female,Black or African American,C+,2020_Fall
Chem1,impacted,N,Female,Black or African American,D-,2020_Fall
Chem1,impacted,N,Female,Black or African American,A-,2020_Fall
Chem1,impacted,N,Female,Black or African American,W,2020_Fall
Chem1,impacted,N,Female,Hispanic,B-,2020_Fall
Chem1,impacted,N,Female,Hispanic,W,2020_Fall
Chem1,impacted,N,Female,Hispanic,C,2020_Fall
Chem1,impacted,N,Female,Hispanic,A-,2020_Fall
Chem1,impacted,N,Female,Hispanic,B-,2020_Fall
Chem1,impacted,N,Female,Hispanic,F,2020_Fall
Chem1,impacted,N,Female,Hispanic,B,2020_Fall
Chem1,impacted,N,Female,Hispanic,A+,2020_Fall
Chem1,impacted,N,Female,Hispanic,B,2020_Fall
Chem1,impacted,N,Female,Hispanic,F,2020_Fall
Chem1,impacted,N,Female,Hispanic,B,2020_Fall
Chem1,impacted,N,Female,Hispanic,C,2020_Fall
Chem1,impacted,N,Female,Hispanic,B-,2020_Fall
Chem1,impacted,N,Female,Hispanic,A+,2020_Fall
Chem1,impacted,N,Female,Hispanic,F,2020_Fall
Chem1,impacted,N,Female,Hispanic,B-,2020_Fall
Chem1,impacted,N,Female,Hispanic,A,2020_Fall
Chem1,impacted,N,Female,Hispanic,C+,2020_Fall
Chem1,impacted,N,Female,Hispanic,A+,2020_Fall
Chem1,impacted,N,Female,Hispanic,B+,2020_Fall
Chem1,impacted,N,Female,Hispanic,A+,2020_Fall
Chem1,impacted,N,Female,Hispanic,F,2020_Fall
Chem1,impacted,N,Female,Two or more races,B,2020_Fall
Chem1,impacted,N,Female,Two or more races,C,2020_Fall
Chem1,impacted,N,Female,Two or more races,A-,2020_Fall
Chem1,impacted,N,Female,Two or more races,W,2020_Fall
Chem1,impacted,N,Female,Two or more races,A,2020_Fall
Chem1,impacted,N,Female,Two or more races,B+,2020_Fall
Chem1,impacted,N,Female,Two or more races,A+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,B-,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,D+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,W,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,B+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,B,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,B+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,C+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,B+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,B+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A-,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,A+,2020_Fall
Chem1,impacted,N,Female,U.S. Nonresident,W,2020_Fall
Chem1,impacted,N,Female,Unknown race and ethnicity,A+,2020_Fall
Chem1,impacted,N,Female,Unknown race and ethnicity,A+,2020_Fall
Chem1,impacted,N,Female,Unknown race and ethnicity,A,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,C-,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,D+,2020_Fall
Chem1,impacted,N,Female,White,D+,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,W,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,D+,2020_Fall
Chem1,impacted,N,Female,White,D-,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A-,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,B+,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,C-,2020_Fall
Chem1,impacted,N,Female,White,W,2020_Fall
Chem1,impacted,N,Female,White,A+,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,C+,2020_Fall
Chem1,impacted,N,Female,White,B-,2020_Fall
Chem1,impacted,N,Female,White,D-,2020_Fall
Chem1,impacted,N,Female,White,C,2020_Fall
Chem1,impacted,N,Female,White,W,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,F,2020_Fall
Chem1,impacted,N,Female,White,A,2020_Fall
Chem1,impacted,N,Female,White,B,2020_Fall
